"","Parcel_Number","sale_price","Sale_Date","Land_Economic_Area","Land_Net_Acres","Appraisal_Date","Utility_Sewer","Utility_Water","Utility_Electric","View_Quality","Waterfront_Type","Crime_Num","withInSewerImprovement","near_firestation","near_healthcare","near_libraries","near_policestation","near_schools","near_waterplants","row_num"
"1759",317218017,345450,2018-09-10,"2001-06-13",1.2,2016-09-08,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1760",317227006,255500,2018-09-28,"2001-06-01",1.1899,2016-02-02,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1761",317234030,385000,2018-07-19,"2001-06-04",15.13,2018-06-01,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1762",317241061,395000,2018-04-09,"2001-06-04",5,2018-08-07,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","Y","N","N","N","N","N",1
"1763",317247017,261300,2018-10-12,"2001-06-04",1.11,2016-03-30,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","Y","N","N","N","N","N",1
"1764",317254026,1425000,2018-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N","N","N","N","N",1
"1765",317266002,292750,2018-05-25,"2001-06-04",1,2016-05-11,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1766",317281010,1e+05,2018-11-27,"2001-06-13",5,2016-09-01,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1767",317287004,292000,2018-07-20,"2001-06-01",1.3899,2018-07-31,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1768",317287014,266500,2018-07-16,"2001-06-01",1.2699,2016-03-02,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1769",317287021,320000,2018-09-04,"2001-06-01",1.1399,2016-03-01,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1770",317322012,410000,2018-04-19,"2001-06-01",5,2016-05-05,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1771",317322014,4e+05,2018-05-03,"2001-06-01",5.03,2016-05-05,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1772",317322034,52750,2018-11-19,"2001-06-01",5,2016-05-10,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,NA,219,"N","N","N","N","N","N","N",1
"1773",317322036,52750,2018-11-19,"2001-06-01",5,2016-05-10,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,NA,219,"N","N","N","N","N","N","N",1
