Parcel_Number,sale_price,Sale_Date,Land_Economic_Area,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,withInSewerImprovement,near_firestation,near_healthcare,near_libraries,near_policestation,near_schools,near_waterplants,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
6440004620,335000,2018-03-16,2017-01-14,0.1219,0,0,943,0,1,0,0,0,1,0,1502,1,6,4,0,0,0,0,0,0,1,1.5,4,1.75,1991
6445000760,220000,2018-06-24,2017-12-01,0.2203,0,0,1351,0,0,1,0,1,1,0,680,1,6,4,0,0,0,0,0,0,0,1,2,1,2000
6445002260,225000,2018-06-13,2017-12-01,0.1377,0,0,1351,0,0,1,0,1,1,0,1300,1,6,3,0,0,0,0,0,0,0,2,3,1,1982
6445101050,218000,2018-03-29,2017-12-01,0.1377,0,0,1351,0,1,0,0,1,1,0,1475,1,5,4,1,0,0,1,1,0,0,1,3,1,1978
6450000550,292000,2018-06-20,2014-12-01,0.179,0,0,46,1,1,1,1,1,1,0,1864,1,6,4,0,0,0,0,0,0,1,1.5,4,1.75,1980
6460200280,380000,2018-08-28,2007-01-01,0.2203,0,0,5407,1,1,1,1,1,1,0,2846,1,6,4,0,0,0,0,0,0,1,2,4,1.75,1986
6510300080,215800,2018-06-21,2010-10-01,0.2301,0,0,176,0,0,0,0,0,1,0,1267,1,6,4,0,0,0,1,0,1,1,1,2,1,1986
6027180020,599950,2018-08-09,2004-02-02,0.161,0,0,4215,0,1,1,1,1,1,0,3195,0.9,6,5,0,0,0,0,1,0,1,2,4,3.25,2018
6027180030,579950,2018-11-01,2004-02-02,0.1591,0,0,4215,0,1,1,1,1,1,0,3092,0.9,6,5,0,0,0,0,1,0,1,2,4,3,2018
6027180060,639950,2018-10-02,2004-02-02,0.2418,0,0,4215,0,1,1,1,1,1,0,3092,0.7,6,5,0,0,0,0,1,0,1,2,4,3,2018
6027180120,614950,2018-06-22,2004-02-02,0.161,0,0,4215,0,1,1,1,1,1,0,3195,1,6,5,0,0,0,0,1,0,1,2,4,3.25,2018
7000210160,350000,2018-08-20,2005-07-03,0.2884,0,0,1428,0,1,0,0,0,1,0,1624,1,6,5,0,0,0,1,1,0,1,2,3,2.5,1995
7000210200,367950,2018-07-10,2005-07-03,0.2869,0,0,1428,0,1,0,0,1,1,0,1903,1,6,5,0,0,0,1,1,0,1,2,3,2.5,1995
7000210230,323700,2018-05-01,2005-07-03,0.2876,0,0,1428,0,1,0,0,0,1,0,1492,1,6,5,0,0,0,1,1,0,1,1,3,2,1995
7000210410,370000,2018-09-26,2005-07-03,0.2869,0,0,1428,0,1,0,0,0,1,0,1684,1,6,5,0,0,0,1,1,0,1,2,3,2.5,1995
7000210540,369950,2018-05-25,2005-07-03,0.2512,0,0,1428,0,1,0,0,0,1,0,1639,1,6,5,0,0,0,1,1,0,1,2,3,2.5,1994
7000220500,328000,2018-05-01,2005-05-11,0.5223,0,0,1428,0,0,1,0,0,1,0,1268,1,6,5,0,0,0,1,1,0,0,1,3,2,1995
7000220750,400000,2018-07-05,2005-05-11,0.4236,0,0,1428,0,0,0,0,0,1,0,1558,1,6,5,0,0,0,1,1,0,1,2,3,2.5,1994
7000220800,415000,2018-01-26,2005-05-11,0.4148,0,0,1428,0,0,0,0,0,1,0,1996,1,6,5,0,0,0,1,1,0,1,2,4,2.5,1995
7000230910,299000,2018-03-21,2005-07-03,0.252,0,0,1428,0,1,0,0,0,1,0,1176,1,6,5,0,0,0,1,1,0,1,1,3,2,1995
7000280100,344000,2018-09-12,2002-02-10,0.2341,0,0,1428,0,1,0,0,1,1,0,1897,1,6,5,0,0,0,1,1,0,1,2,3,2.25,1995
7000280140,359950,2018-03-28,2002-02-10,0.2424,0,0,1428,0,1,0,0,1,1,0,1770,1,6,5,0,0,0,1,1,0,1,2,4,2.75,1994
7000300050,345000,2018-09-11,2002-02-10,0.3846,0,0,1428,0,1,1,0,1,0,0,2120,1,6,5,0,0,0,1,1,0,1,2,3,2.75,1995
7000300300,406500,2018-03-05,2002-02-10,0.3144,0,0,1428,0,1,0,0,1,0,0,2306,1,6,5,0,0,0,1,1,0,1,2,4,2.5,1995
7000310220,545000,2018-12-14,2003-03-06,0.3196,1,0,1275,0,1,0,1,1,1,0,2294,1,6,6,0,0,0,1,1,0,1,1,3,1.75,1995
7000320100,375000,2018-05-25,2002-02-10,0.3059,0,0,1428,0,1,0,0,1,0,0,2149,1,6,5,0,0,0,1,1,0,1,2,3,2.5,2005
7000370100,352000,2018-07-06,2005-05-12,0.4132,0,0,1428,0,0,0,0,0,1,0,1572,1,6,5,0,0,0,1,1,0,1,1,3,2,1996
7000390830,338000,2018-08-28,2002-02-10,0.2838,0,0,1428,0,1,0,0,1,1,0,1606,1,6,5,0,0,0,0,1,0,1,2,3,2,1995
7000400970,290000,2018-01-09,2005-01-05,0.1909,0,0,1428,0,1,0,1,1,1,0,1583,1,6,5,0,0,0,1,1,0,0,2,3,2.5,2003
7000421500,350000,2018-02-22,2005-07-03,0.2661,0,0,1428,0,1,0,0,0,1,0,1944,1,6,5,0,0,0,1,1,0,1,2,3,2.5,1995
7000421630,349450,2018-10-03,2005-07-03,0.2676,0,0,1428,0,1,0,0,0,1,0,1629,1,6,5,0,0,0,1,1,0,1,2,3,2.5,1995
7000421780,322000,2018-06-08,2005-07-03,0.2342,0,0,1428,0,1,0,0,0,1,0,1172,1,6,5,0,0,0,1,1,0,1,1,3,2,1995
7000450270,318000,2018-07-18,2005-01-05,0.1801,0,0,1428,0,1,0,1,1,1,1,1732,1,6,5,0,0,0,1,1,0,1,2,3,2.5,2000
7000460250,430000,2018-06-01,2003-05-03,0.4846,0,0,1275,0,1,0,0,0,1,0,1913,1,6,6,0,0,0,1,1,0,1,2,4,2.5,1995
7000460320,484500,2018-09-25,2003-05-03,0.3458,0,0,1275,0,1,0,0,0,1,0,2142,1,6,6,0,0,0,1,1,0,1,2,3,2.5,1996
7000490170,320000,2018-05-03,2002-02-10,0.3443,0,0,1428,0,1,0,0,1,1,0,1309,1,6,5,0,0,0,1,1,0,1,1,3,2,1996
7000500330,257000,2018-05-10,2005-01-05,0.1657,0,0,1428,0,1,0,1,1,1,0,1288,1,6,5,0,0,0,0,1,0,1,1,3,2,1996
7000510060,535000,2018-01-26,2003-03-06,0.4654,0,0,1275,0,0,0,0,0,1,0,3176,1,6,8,0,0,0,1,1,0,1,2,3,2.5,1997
7000540250,260500,2018-05-01,2005-01-05,0.1652,0,0,1428,0,1,0,1,1,1,0,1232,1,6,4,0,0,0,1,1,0,0,1,4,2,1996
7000540450,255000,2018-11-15,2005-01-05,0.1722,0,0,1428,0,1,0,1,1,1,0,1372,1,6,4,0,0,0,1,1,0,0,1,4,2,1996
7000550350,273000,2018-06-13,2005-01-05,0.1652,0,0,1428,0,0,0,0,0,1,1,1416,1,6,5,0,0,0,1,1,0,1,1,3,1.75,1996
7000550400,300000,2018-06-25,2005-01-05,0.1652,0,0,1428,0,0,0,0,0,1,1,1092,1,6,5,0,0,0,1,1,0,1,1,3,1.75,1996
