"","Parcel_Number","sale_price","Sale_Date","Land_Economic_Area","Land_Net_Acres","View_Quality","Waterfront_Type","Crime_Num","withInSewerImprovement","near_firestation","near_healthcare","near_libraries","near_policestation","near_schools","near_waterplants","square_feet","condition","quality","attic_finished_square_feet","basement_square_feet","basement_finished_square_feet","porch_square_feet","attached_garage_square_feet","detached_garage_square_feet","fireplaces","stories","bedrooms","bathrooms","year_built"
"11484",319142024,225000,2018-10-29,2009-12-15,0.8856,"0","0",5407,"0","0","0","0","0","0","0",1008,"6","3","1","0","0","1","0","1",0,1,2,1,1985
"11485",319153060,67000,2018-09-19,2007-02-01,0.6799,"0","0",5407,"1","1","1","1","1","1","0",1531,"6","5","0","0","0","0","0","0",0,1,3,2,1975
"11486",319163042,270000,2018-07-24,2007-02-01,0.2099,"0","0",5407,"1","1","1","1","1","1","0",1312,"6","4","0","0","0","1","0","0",1,1,4,1,2005
"11487",319164041,273700,2018-10-15,2007-02-01,0.3443,"0","0",5407,"1","1","1","1","1","1","0",1512,"6","4","0","0","0","0","1","0",1,1,3,1.5,1978
"11488",319218005,3e+05,2018-09-24,2007-02-01,0.3199,"0","0",5407,"0","1","1","0","0","1","0",1712,"6","4","0","0","0","0","1","0",2,1,4,2,1987
"11489",319233044,660000,2018-10-09,2007-04-01,2,"0","0",5407,"0","0","0","0","0","1","0",4391,"6","4","0","0","0","1","0","0",2,3,4,3.5,1997
"11490",319233065,682000,2018-01-29,2007-04-01,2.46,"0","0",5407,"0","0","0","0","0","1","0",3609,"6","7","0","0","0","1","1","0",2,2,4,2.5,2007
"11491",319234127,4e+05,2018-06-01,2007-04-01,1,"0","0",5407,"0","0","0","0","0","1","0",1440,"6","4","0","1","1","1","0","1",2,1.5,3,2.25,1989
"11492",319243007,350000,2018-08-29,2009-12-15,0.58,"0","0",5407,"0","0","0","0","0","1","0",2944,"6","2","0","0","0","1","1","0",1,2,4,2,1970
"11493",319254059,379900,2018-04-17,2007-04-01,1.63,"0","1",5407,"0","0","1","0","0","1","0",2020,"6","3","0","0","0","1","0","0",1,2,4,2.5,1998
"11494",319255008,5e+05,2018-07-13,2007-04-01,1.1199,"0","0",5407,"0","0","1","0","0","1","0",2504,"6","6","0","0","0","1","1","0",1,2,2,2,1990
"11495",319256009,465000,2018-08-27,2007-04-01,1.2599,"0","0",5407,"0","0","0","0","0","1","0",3955,"6","6","0","0","0","0","0","0",1,3,3,1.5,1995
"11496",319257008,307500,2018-07-19,2007-04-01,1.3799,"0","0",5407,"0","0","0","0","0","1","0",1512,"6","6","0","0","0","0","0","0",0,1,3,2,2007
"11497",319262065,295000,2018-10-01,2007-04-01,0.9399,"0","0",5407,"0","1","0","0","0","1","0",1596,"6","5","0","0","0","1","1","0",1,1,3,2.25,1985
